npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  1/16/2026 9:06:41 PM ::1 GET /
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 287 ms
 HTTP  1/16/2026 9:06:41 PM ::1 GET /_next/static/media/2a65768255d6b625-s.p.d19752fb.woff2
 HTTP  1/16/2026 9:06:41 PM ::1 GET /_next/static/chunks/02782da08b6335ed.css
 HTTP  1/16/2026 9:06:41 PM ::1 GET /_next/static/media/83afe278b6a6bb3c-s.p.3a6ba036.woff2
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 5 ms
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 4 ms
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 5 ms
 HTTP  1/16/2026 9:06:41 PM ::1 GET /_next/static/chunks/a0b73b26a17b926b.js
 HTTP  1/16/2026 9:06:41 PM ::1 GET /_next/static/chunks/f7e899cb2e440e35.js
 HTTP  1/16/2026 9:06:41 PM ::1 GET /_next/static/chunks/913ea015c5f2271d.js
 HTTP  1/16/2026 9:06:41 PM ::1 GET /_next/static/chunks/turbopack-49b3774422958f10.js
 HTTP  1/16/2026 9:06:41 PM ::1 GET /_next/static/chunks/f30e885a6f6bd3d0.js
 HTTP  1/16/2026 9:06:41 PM ::1 GET /_next/static/chunks/c7ba79ee688639a2.js
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 7 ms
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 6 ms
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 7 ms
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 7 ms
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 10 ms
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 16 ms
 HTTP  1/16/2026 9:06:41 PM ::1 GET /_next/static/chunks/ff1a16fafef87110.js
 HTTP  1/16/2026 9:06:41 PM ::1 GET /_next/static/chunks/d2be314c3ece3fbe.js
 HTTP  1/16/2026 9:06:41 PM ::1 GET /_next/static/chunks/4bed1fe320414ee5.js
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 22 ms
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 22 ms
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 22 ms
 HTTP  1/16/2026 9:06:41 PM ::1 GET /profile.jpg
 HTTP  1/16/2026 9:06:41 PM ::1 Returned 200 in 2 ms
